"Timestamp","RealValue","LearnedValue","Residual"
" 2024-01-05 06:00:00","9.236","",""
" 2024-01-05 06:00:08","9.238","",""
" 2024-01-05 06:00:23","9.236","",""
" 2024-01-05 06:00:31","9.232","",""
" 2024-01-05 06:00:39","9.225","",""
" 2024-01-05 06:00:46","9.262","",""
" 2024-01-05 06:00:54","9.238","",""
" 2024-01-05 06:01:02","9.216","",""
" 2024-01-05 06:01:09","9.247","",""
" 2024-01-05 06:01:17","9.214","",""
" 2024-01-05 06:01:25","9.227","",""
" 2024-01-05 06:01:33","9.241","",""
" 2024-01-05 06:01:40","9.24","",""
" 2024-01-05 06:01:48","9.215","",""
" 2024-01-05 06:01:56","9.238","",""
" 2024-01-05 06:02:03","9.214","",""
" 2024-01-05 06:02:11","9.248","",""
" 2024-01-05 06:02:19","9.23","",""
" 2024-01-05 06:02:27","9.226","",""
" 2024-01-05 06:02:34","9.221","",""
" 2024-01-05 06:02:42","9.232","",""
" 2024-01-05 06:02:50","9.208","",""
" 2024-01-05 06:02:57","9.243","",""
" 2024-01-05 06:03:05","9.255","",""
" 2024-01-05 06:03:13","9.236","",""
" 2024-01-05 06:03:21","9.219","",""
" 2024-01-05 06:03:28","9.243","",""
" 2024-01-05 06:03:36","9.203","",""
" 2024-01-05 06:03:44","9.23","",""
" 2024-01-05 06:03:51","9.214","",""
" 2024-01-05 06:03:59","9.223","",""
" 2024-01-05 06:04:07","9.244","",""
" 2024-01-05 06:04:15","9.236","",""
" 2024-01-05 06:04:22","9.225","",""
" 2024-01-05 06:04:30","9.247","",""
" 2024-01-05 06:04:38","9.236","",""
" 2024-01-05 06:04:45","9.223","",""
" 2024-01-05 06:04:53","9.247","",""
" 2024-01-05 06:05:01","9.233","",""
" 2024-01-05 06:05:08","9.21","",""
" 2024-01-05 06:05:16","9.212","",""
" 2024-01-05 06:05:24","9.23","",""
" 2024-01-05 06:05:32","9.222","",""
" 2024-01-05 06:05:39","9.234","",""
" 2024-01-05 06:05:47","9.244","",""
" 2024-01-05 06:05:55","9.212","",""
" 2024-01-05 06:06:03","9.236","",""
" 2024-01-05 06:06:10","9.222","",""
" 2024-01-05 06:06:18","9.221","",""
" 2024-01-05 06:06:27","9.225","",""
" 2024-01-05 06:06:34","9.218","",""
" 2024-01-05 06:06:42","9.229","",""
" 2024-01-05 06:06:49","9.215","",""
" 2024-01-05 06:06:57","9.218","",""
" 2024-01-05 06:07:05","9.215","",""
" 2024-01-05 06:07:13","9.223","",""
" 2024-01-05 06:07:21","9.215","",""
" 2024-01-05 06:07:28","9.227","",""
" 2024-01-05 06:07:36","9.241","",""
" 2024-01-05 06:07:44","9.221","",""
" 2024-01-05 06:07:51","9.226","",""
" 2024-01-05 06:07:58","9.247","",""
" 2024-01-05 06:08:07","9.201","",""
" 2024-01-05 06:08:15","9.238","",""
" 2024-01-05 06:08:29","9.254","",""
" 2024-01-05 06:08:37","9.234","",""
" 2024-01-05 06:08:46","9.205","",""
" 2024-01-05 06:08:52","9.223","",""
" 2024-01-05 06:09:02","9.215","",""
" 2024-01-05 06:09:08","9.225","",""
" 2024-01-05 06:09:15","9.234","",""
" 2024-01-05 06:09:24","9.219","",""
" 2024-01-05 06:09:31","9.212","",""
" 2024-01-05 06:09:38","9.222","",""
" 2024-01-05 06:09:46","9.218","",""
" 2024-01-05 06:09:54","9.219","",""
" 2024-01-05 06:10:02","9.225","",""
" 2024-01-05 06:10:09","9.223","",""
" 2024-01-05 06:10:25","9.218","",""
" 2024-01-05 06:10:32","9.221","",""
" 2024-01-05 06:10:40","9.208","",""
" 2024-01-05 06:10:48","9.214","",""
" 2024-01-05 06:10:56","9.226","",""
" 2024-01-05 06:11:03","9.215","",""
" 2024-01-05 06:11:11","9.2","",""
" 2024-01-05 06:11:19","9.199","",""
" 2024-01-05 06:11:26","9.229","",""
" 2024-01-05 06:11:34","9.214","",""
" 2024-01-05 06:11:42","9.221","",""
" 2024-01-05 06:11:50","9.23","",""
" 2024-01-05 06:11:57","9.232","",""
" 2024-01-05 06:12:05","9.23","",""
" 2024-01-05 06:12:13","9.218","",""
" 2024-01-05 06:12:20","9.207","",""
" 2024-01-05 06:12:28","9.249","",""
" 2024-01-05 06:12:36","9.233","",""
" 2024-01-05 06:12:44","9.205","",""
" 2024-01-05 06:12:51","9.23","",""
" 2024-01-05 06:12:59","9.211","",""
" 2024-01-05 06:13:07","9.23","",""
" 2024-01-05 06:13:14","9.221","",""
" 2024-01-05 06:13:22","9.208","",""
" 2024-01-05 06:13:30","9.21","",""
" 2024-01-05 06:13:38","9.229","",""
" 2024-01-05 06:13:45","9.21","",""
" 2024-01-05 06:13:53","9.23","",""
