"Timestamp","RealValue","LearnedValue","Residual"
" 2024-01-05 06:00:00","0","",""
" 2024-01-05 08:49:41","0.784","",""
" 2024-01-05 08:49:49","4.197","",""
" 2024-01-05 08:49:56","4.19","",""
" 2024-01-05 08:50:04","4.189","",""
" 2024-01-05 08:50:12","4.193","",""
" 2024-01-05 08:50:19","4.198","",""
" 2024-01-05 08:50:27","4.191","",""
" 2024-01-05 08:50:35","4.195","",""
" 2024-01-05 08:50:42","4.143","",""
" 2024-01-05 08:50:49","4.146","",""
" 2024-01-05 08:50:58","4.154","",""
" 2024-01-05 08:51:05","4.149","",""
" 2024-01-05 08:51:20","4.147","",""
" 2024-01-05 08:51:29","4.142","",""
" 2024-01-05 08:51:43","4.146","",""
" 2024-01-05 08:51:51","4.157","",""
" 2024-01-05 08:51:59","4.149","",""
" 2024-01-05 08:52:06","4.139","",""
" 2024-01-05 08:52:14","4.15","",""
" 2024-01-05 08:52:22","4.153","",""
" 2024-01-05 08:52:30","4.146","",""
" 2024-01-05 08:52:37","4.143","",""
" 2024-01-05 08:52:45","4.139","",""
" 2024-01-05 08:52:53","4.138","",""
" 2024-01-05 08:53:00","4.14","",""
" 2024-01-05 08:53:08","4.145","",""
" 2024-01-05 08:53:16","4.151","",""
" 2024-01-05 08:53:24","4.15","",""
" 2024-01-05 08:53:31","4.145","",""
" 2024-01-05 08:53:39","4.153","",""
" 2024-01-05 08:53:47","4.147","",""
" 2024-01-05 08:53:54","4.151","",""
" 2024-01-05 08:54:02","4.149","",""
" 2024-01-05 08:54:10","4.147","",""
" 2024-01-05 08:54:17","4.134","",""
" 2024-01-05 08:54:25","4.147","",""
" 2024-01-05 08:54:33","4.157","",""
" 2024-01-05 08:54:41","4.149","",""
" 2024-01-05 08:54:48","4.143","",""
" 2024-01-05 08:54:56","4.156","",""
" 2024-01-05 08:55:04","4.145","",""
" 2024-01-05 08:55:11","4.151","",""
" 2024-01-05 08:55:19","4.158","",""
" 2024-01-05 08:55:27","4.156","",""
" 2024-01-05 08:55:35","4.158","",""
" 2024-01-05 08:55:43","4.153","",""
" 2024-01-05 08:55:51","4.149","",""
" 2024-01-05 08:55:59","4.162","",""
" 2024-01-05 08:56:06","4.146","",""
" 2024-01-05 08:56:14","4.149","",""
" 2024-01-05 08:56:22","4.162","",""
" 2024-01-05 08:56:30","4.145","",""
" 2024-01-05 08:56:37","4.158","",""
" 2024-01-05 08:56:45","4.15","",""
" 2024-01-05 08:56:53","4.146","",""
" 2024-01-05 08:57:00","4.154","",""
" 2024-01-05 08:57:08","4.149","",""
" 2024-01-05 08:57:16","4.147","",""
" 2024-01-05 08:57:24","4.142","",""
" 2024-01-05 08:57:31","4.153","",""
" 2024-01-05 08:57:39","4.151","",""
" 2024-01-05 08:57:47","4.145","",""
" 2024-01-05 08:57:54","4.161","",""
" 2024-01-05 08:58:02","4.15","",""
" 2024-01-05 08:58:10","4.147","",""
" 2024-01-05 08:58:18","4.147","",""
" 2024-01-05 08:58:26","4.154","",""
" 2024-01-05 08:58:34","4.15","",""
" 2024-01-05 08:58:42","4.151","",""
" 2024-01-05 08:58:49","4.145","",""
" 2024-01-05 08:58:57","4.153","",""
" 2024-01-05 08:59:04","4.142","",""
" 2024-01-05 08:59:12","4.143","",""
" 2024-01-05 08:59:19","4.147","",""
" 2024-01-05 08:59:27","4.145","",""
" 2024-01-05 08:59:35","4.139","",""
" 2024-01-05 08:59:42","4.143","",""
" 2024-01-05 08:59:50","4.146","",""
" 2024-01-05 08:59:58","4.153","",""
" 2024-01-05 09:00:06","4.154","",""
" 2024-01-05 09:00:13","4.162","",""
" 2024-01-05 09:00:21","4.15","",""
" 2024-01-05 09:00:29","4.158","",""
" 2024-01-05 09:00:36","4.154","",""
" 2024-01-05 09:00:44","4.151","",""
" 2024-01-05 09:00:52","4.16","",""
" 2024-01-05 09:01:00","4.153","",""
" 2024-01-05 09:01:07","4.157","",""
" 2024-01-05 09:01:15","4.146","",""
" 2024-01-05 09:01:23","4.157","",""
" 2024-01-05 09:01:30","4.162","",""
" 2024-01-05 09:01:38","4.161","",""
" 2024-01-05 09:01:46","4.147","",""
" 2024-01-05 09:01:54","4.173","",""
" 2024-01-05 09:02:01","4.168","",""
" 2024-01-05 09:02:09","4.15","",""
" 2024-01-05 09:02:17","4.161","",""
" 2024-01-05 09:02:24","4.158","",""
" 2024-01-05 09:02:32","4.16","",""
" 2024-01-05 09:02:39","4.156","",""
" 2024-01-05 09:02:47","4.149","",""
" 2024-01-05 09:02:55","4.153","",""
" 2024-01-05 09:03:03","4.164","",""
" 2024-01-05 09:03:11","4.158","",""
" 2024-01-05 09:03:18","4.16","",""
" 2024-01-05 09:03:26","4.151","",""
" 2024-01-05 09:03:34","4.149","",""
" 2024-01-05 09:03:41","4.154","",""
" 2024-01-05 09:03:49","4.151","",""
" 2024-01-05 09:03:57","4.149","",""
" 2024-01-05 09:04:04","4.16","",""
" 2024-01-05 09:04:12","4.211","",""
" 2024-01-05 09:04:20","4.204","",""
" 2024-01-05 09:04:27","4.194","",""
" 2024-01-05 09:04:35","4.211","",""
" 2024-01-05 09:04:43","4.205","",""
" 2024-01-05 09:04:51","4.198","",""
" 2024-01-05 09:04:59","4.197","",""
" 2024-01-05 09:05:06","4.198","",""
" 2024-01-05 09:05:13","4.198","",""
" 2024-01-05 09:05:22","4.18","",""
" 2024-01-05 09:05:28","4.197","",""
" 2024-01-05 09:05:36","4.193","",""
" 2024-01-05 09:05:44","4.194","",""
" 2024-01-05 09:05:52","4.193","",""
" 2024-01-05 09:05:59","4.204","",""
" 2024-01-05 09:06:07","4.204","",""
" 2024-01-05 09:06:15","4.205","",""
" 2024-01-05 09:06:22","4.198","",""
" 2024-01-05 09:06:30","4.19","",""
" 2024-01-05 09:06:38","4.204","",""
" 2024-01-05 09:06:46","4.201","",""
" 2024-01-05 09:06:53","4.2","",""
" 2024-01-05 09:07:01","4.147","",""
