Timestamp,3370-01-AI156,3370-01-AI153,3370-01-AI109,3370-01-AI110,3370-01-EBB08
 2024-08-05 00:00:00,9.271,8.274,53.499,53.514,9.271
 2024-08-05 00:00:03,9.275,8.276,53.667,53.682,9.275
 2024-08-05 00:26:56,9.271,8.267,53.781,53.796,9.271
 2024-08-05 00:43:02,9.28,8.273,52.805,52.82,9.28
 2024-08-05 00:55:22,9.271,8.271,53.217,53.232,9.271
 2024-08-05 01:00:01,9.275,8.273,53.209,53.224,9.275
 2024-08-05 01:27:55,9.271,8.271,53.362,53.217,9.271
 2024-08-05 01:40:46,9.271,8.273,53.316,53.377,9.271
 2024-08-05 02:23:53,9.275,8.273,53.3,53.331,9.275
 2024-08-05 02:24:01,9.271,8.271,53.239,53.316,9.271
 2024-08-05 04:00:04,9.275,8.273,53.331,53.255,9.275
 2024-08-05 04:52:26,9.266,8.271,53.278,53.346,9.266
 2024-08-05 04:56:55,9.271,8.274,53.293,53.293,9.271
 2024-08-05 05:00:39,9.266,8.267,53.316,53.308,9.266
 2024-08-05 05:24:19,9.275,8.271,53.255,53.331,9.275
 2024-08-05 05:59:03,9.271,8.269,53.278,53.27,9.271
 2024-08-05 06:01:22,9.266,8.267,53.27,53.293,9.266
 2024-08-05 06:26:57,9.271,8.273,53.262,53.285,9.271
 2024-08-05 06:52:41,9.261,8.271,53.3,53.278,9.261
 2024-08-05 06:59:39,9.271,8.269,53.285,53.316,9.271
 2024-08-05 07:00:09,9.266,8.271,53.293,53.308,9.266
 2024-08-05 07:29:51,9.271,8.269,53.27,53.3,9.271
 2024-08-05 07:59:27,9.271,8.271,53.278,53.285,9.271
 2024-08-05 08:00:06,9.266,8.471,53.285,53.316,9.266
 2024-08-05 08:45:59,9.481,7.109,53.293,53.293,9.481
 2024-08-05 08:56:56,8.071,8.219,53.27,53.3,8.071
 2024-08-05 08:59:53,9.225,8.208,53.285,53.293,9.225
 2024-08-05 09:00:01,9.216,8.267,53.278,53.308,9.216
 2024-08-05 09:02:13,9.257,8.139,53.293,53.3,9.257
 2024-08-05 09:51:51,9.133,8.189,53.285,53.293,9.133
 2024-08-05 09:59:59,9.142,8.156,53.278,53.308,9.142
 2024-08-05 10:00:06,9.156,8.189,56.306,53.3,9.156
 2024-08-05 10:03:34,9.184,8.086,52.171,53.293,9.184
 2024-08-05 10:50:16,9.083,8.107,52.667,56.329,9.083
 2024-08-05 10:59:55,9.106,8.088,52.621,52.187,9.106
 2024-08-05 11:00:02,9.092,8.13,53.819,52.682,9.092
 2024-08-05 11:09:34,9.12,8.023,53.461,52.637,9.12
 2024-08-05 11:58:04,9.019,8.027,53.484,53.835,9.019
 2024-08-05 11:59:52,9.033,8.044,53.461,53.476,9.033
 2024-08-05 12:00:00,9.037,8.057,53.682,53.499,9.037
 2024-08-05 12:04:06,9.06,7.95,53.636,53.484,9.06
 2024-08-05 12:55:10,8.955,7.983,53.651,53.705,8.955
 2024-08-05 12:59:55,8.982,7.878,53.606,53.651,8.982
 2024-08-05 14:30:12,8.872,7.889,53.812,53.659,8.872
 2024-08-05 14:35:29,8.891,7.752,53.804,53.621,8.891
 2024-08-05 15:58:36,8.74,7.767,53.781,53.827,8.74
 2024-08-05 15:59:54,8.763,7.771,53.766,53.819,8.763
 2024-08-05 16:00:09,8.772,8.915,53.972,53.796,8.772
 2024-08-05 16:02:52,9.701,7.483,53.926,53.781,9.701
 2024-08-05 16:03:00,8.52,7.803,54.14,53.987,8.52
 2024-08-05 16:59:46,8.804,7.805,54.117,53.941,8.804
 2024-08-05 17:00:24,8.799,7.561,54.346,54.163,8.799
 2024-08-05 17:05:47,10.072,8.253,54.33,54.124,10.072
 2024-08-05 17:44:26,8.547,7.971,54.323,54.369,8.547
 2024-08-05 17:59:52,8.712,7.986,52.332,54.346,8.712
 2024-08-05 18:00:00,8.73,7.899,55.04,54.33,8.73
 2024-08-05 18:02:57,8.63,8.189,54.292,52.362,8.63
 2024-08-05 18:59:25,8.936,8.173,54.338,55.055,8.936
 2024-08-05 18:59:56,8.914,8.162,54.895,54.308,8.914
 2024-08-05 19:00:03,8.895,8.067,50.493,54.353,8.895
 2024-08-05 19:00:19,8.799,8.349,51.775,54.91,8.799
 2024-08-05 19:59:35,9.088,8.33,51.675,50.539,9.088
 2024-08-05 19:59:50,9.042,8.324,51.881,51.813,9.042
 2024-08-05 19:59:58,9.051,7.864,50.745,51.721,9.051
 2024-08-05 20:13:20,8.708,8.404,50.783,51.92,8.708
 2024-08-05 20:39:49,9.458,8.385,50.867,50.79,9.458
 2024-08-05 20:59:44,9.344,8.4,51.439,50.821,9.344
 2024-08-05 20:59:52,9.39,7.573,50.439,50.912,9.39
 2024-08-05 21:18:46,10.397,8.488,50.485,51.477,10.397
 2024-08-05 21:44:24,8.831,8.37,50.447,50.485,8.991
 2024-08-05 21:54:49,9.367,8.368,53.148,50.493,9.367
 2024-08-05 22:43:57,9.362,8.372,52.049,50.485,9.362
 2024-08-05 22:49:52,9.367,8.366,51.92,53.171,9.367
 2024-08-05 22:58:13,9.358,8.366,51.553,52.08,9.358
 2024-08-05 22:58:44,9.367,8.368,55.658,51.942,9.367
 2024-08-05 23:00:25,9.362,8.364,52.713,51.576,9.362
 2024-08-05 23:29:51,9.367,8.364,52.789,55.688,9.367
 2024-08-05 23:52:36,9.362,8.362,53.293,52.736,9.362
 2024-08-06 00:23:11,9.358,8.364,52.721,52.805,9.358
 2024-08-06 00:29:06,9.362,8.36,53.041,53.316,9.362
 2024-08-06 00:59:19,9.358,8.36,53.003,52.744,9.358
 2024-08-06 01:00:36,9.362,8.358,52.927,53.056,9.362
 2024-08-06 01:42:07,9.353,8.36,53.072,53.018,9.353
 2024-08-06 01:57:10,9.358,8.358,53.011,53.087,9.358
 2024-08-06 02:00:00,9.353,8.356,53.026,52.942,9.353
 2024-08-06 02:09:46,9.358,8.358,53.049,53.018,9.358
 2024-08-06 02:51:28,9.353,8.355,52.965,53.033,9.353
 2024-08-06 03:16:10,9.348,8.355,52.98,53.056,9.348
 2024-08-06 03:29:18,9.481,8.356,52.972,52.972,9.481
 2024-08-06 03:32:08,7.234,8.442,53.033,52.995,7.234
 2024-08-06 03:59:55,8.872,5.602,53.026,52.988,8.872
 2024-08-06 04:00:02,8.932,8.158,53.018,53.041,8.932
 2024-08-06 04:58:26,8.804,8.187,52.988,53.033,8.804
 2024-08-06 04:59:51,8.845,8.202,52.995,53.026,8.845
 2024-08-06 04:59:59,8.849,8.08,53.003,52.995,8.849
 2024-08-06 05:48:44,8.767,8.114,53.087,53.033,8.767
 2024-08-06 05:51:41,10.223,8.103,50.363,53.011,10.854
