Timestamp,3370-02-AI081,3370-02-AI082,3370-02-AI083,3370-02-AI084,3370-02-AI085
 2024-08-05 00:00:00,60.11,59.855,60.237,60.619,60.619
 2024-08-05 00:02:46,59.983,59.728,60.11,60.492,60.492
 2024-08-05 00:59:14,60.11,57.564,57.946,60.619,58.2
 2024-08-05 00:59:29,57.946,57.437,57.819,58.073,58.328
 2024-08-05 01:00:09,57.819,57.564,57.946,57.946,58.2
 2024-08-05 01:56:14,56.038,55.656,55.91,56.038,56.292
 2024-08-05 02:00:13,55.91,55.529,55.783,55.91,56.165
 2024-08-05 02:56:48,54.385,55.656,54.131,54.258,54.512
 2024-08-05 03:00:38,54.258,53.876,54.003,54.131,54.385
 2024-08-05 03:59:11,52.86,53.749,52.606,52.733,52.86
 2024-08-05 04:03:42,52.733,53.876,52.479,52.606,52.733
 2024-08-05 04:58:14,52.86,52.352,51.208,52.733,51.462
 2024-08-05 05:04:15,51.462,52.225,51.081,51.335,51.335
 2024-08-05 05:04:23,51.589,50.954,49.939,51.208,51.462
 2024-08-05 05:58:01,51.462,50.827,49.812,51.335,50.193
 2024-08-05 06:04:20,51.589,49.685,49.939,50.066,50.066
 2024-08-05 06:04:50,50.32,49.558,48.796,49.939,50.193
 2024-08-05 06:56:49,50.193,48.543,48.67,48.923,49.05
 2024-08-05 07:02:05,49.177,48.416,48.796,48.796,48.923
 2024-08-05 07:02:36,49.05,48.543,47.655,48.923,49.05
 2024-08-05 07:59:28,49.177,47.528,47.781,47.781,47.908
 2024-08-05 07:59:43,48.035,47.401,47.655,47.908,48.035
 2024-08-05 08:00:29,47.908,47.528,47.781,47.781,47.908
 2024-08-05 08:00:45,48.035,46.64,46.259,47.02,48.035
 2024-08-05 08:46:16,46.893,49.812,47.908,51.462,47.147
 2024-08-05 08:59:46,49.304,49.939,48.035,51.589,49.05
 2024-08-05 09:00:02,49.431,55.529,52.987,59.091,49.177
 2024-08-05 09:58:11,56.038,55.656,53.114,59.219,55.148
 2024-08-05 10:02:25,56.165,56.546,52.987,59.728,55.275
 2024-08-05 10:52:35,56.038,56.674,53.749,59.855,55.783
 2024-08-05 11:05:28,56.801,56.801,53.876,59.728,55.91
 2024-08-05 11:05:36,56.928,56.801,53.749,59.983,55.783
 2024-08-05 11:35:56,56.801,56.928,54.003,60.11,56.038
 2024-08-05 11:37:13,57.055,56.801,54.003,59.983,56.038
 2024-08-05 12:22:38,57.055,56.928,54.131,60.11,56.165
 2024-08-05 12:22:45,57.182,57.182,54.003,59.983,56.038
 2024-08-05 12:27:40,57.055,57.055,54.131,60.11,56.165
 2024-08-05 16:04:10,57.182,57.182,54.131,59.983,56.038
 2024-08-05 16:07:46,57.055,57.055,53.749,59.855,55.275
 2024-08-05 16:58:06,57.182,54.893,54.893,55.783,55.402
 2024-08-05 17:03:37,55.275,54.766,54.766,55.656,55.275
 2024-08-05 17:08:45,55.148,54.512,54.639,55.275,55.148
 2024-08-05 17:58:51,55.02,64.442,68.014,68.78,69.163
 2024-08-05 18:00:47,63.422,64.57,68.142,68.908,69.291
 2024-08-05 18:57:22,63.55,64.442,69.291,70.184,70.695
 2024-08-05 19:08:17,63.422,65.59,69.418,70.312,70.823
 2024-08-05 19:44:24,65.08,65.717,69.291,70.184,71.206
