,1min_later,2min_later,3min_later,4min_later,5min_later,6min_later,7min_later,8min_later,9min_later,10min_later,11min_later,12min_later,13min_later,14min_later,15min_later,16min_later,17min_later,18min_later,19min_later,20min_later,21min_later,22min_later,23min_later,24min_later,25min_later,26min_later,27min_later,28min_later,29min_later,30min_later,pred_max,alarm,final_alarm,real_max,abnormal,final_abnormal,result
2024-09-28 01:01:00+09:00,35.96570729262514,35.85378603908565,35.86997763350426,35.92896567074594,35.91954516695624,36.06634163436595,36.03892120961936,35.87423578368633,35.94262457622413,36.00358561980477,35.93941159554277,36.702733347252945,36.69836615649727,36.16054229578122,36.05380493149679,36.010859971899215,36.11707027777235,36.08726367977074,36.161969033603654,36.253169037606284,36.05795164283826,36.06354148039866,36.16995367863592,36.06070661964447,36.61739867299841,36.88941670341849,36.41171626543293,36.22770168486121,36.17521561030432,36.268567418684015,36.88941670341849,False,False,36.778,False,False,True
2024-09-28 01:02:00+09:00,35.76499894012343,35.77804703572401,35.88303034812901,35.8610026161092,36.00690546347651,35.97694171814764,35.77898404691553,35.881527337596246,35.94942438713082,35.87525478655469,36.630539230703256,36.63031605236354,35.984144381642324,35.86105331421099,35.85421730685021,35.9907472464408,35.972355899385875,36.014330259301694,36.105765702802415,35.88588354979448,35.917458109689726,36.06288010211152,35.93454609898361,36.473207901989525,36.752221964790856,36.18561651194664,35.94632458495514,35.93690209102859,36.06825902745368,36.10482480059876,36.752221964790856,False,False,37.82819667802706,False,False,True
2024-09-28 01:03:00+09:00,35.88410539198256,36.03654871161959,35.926689414072385,36.14325201666742,36.08227758154572,35.84301621426817,36.03932563479624,36.04097079515219,36.00595635528166,36.77654366013166,36.74687744549635,36.108144058092584,36.22080865066031,36.15860957448043,36.2381190814136,36.19775584464914,36.26549284580842,36.38968145637021,36.07796899196951,36.1890625559246,36.29247783366146,36.16201772506548,36.77371315788504,36.99562727820361,36.424857805597355,36.39258576407997,36.4095717242627,36.44950798785587,36.457553874869106,36.427138223209184,36.99562727820361,False,False,38.6577002188456,False,False,True
2024-09-28 01:04:00+09:00,36.04126001327286,35.988335925101296,36.189827126216706,36.1256241551531,35.84459008275228,36.02088545279304,36.05236233186194,35.997634923386975,36.77822948220156,36.736481626228986,36.10440355894064,36.215827388552896,36.192229752082966,36.257248046441916,36.2542851933697,36.35066587096968,36.44519546459841,36.109894646407525,36.18057244576449,36.30135452936216,36.164282310752704,36.77231857937607,36.98862234951643,36.414109421088384,36.38605090441557,36.428271453408435,36.47126006605703,36.507483228511035,36.530879006382726,36.70298583333552,36.98862234951643,False,False,39.29968582800318,False,False,True
2024-09-28 01:05:00+09:00,35.972549710157566,36.12778959642062,36.06291119614505,35.81457097477219,36.036121378540734,36.06273480324027,35.93620114930669,36.75884328607728,36.73264323359556,36.06111511419818,36.18558689569405,36.15729040730685,36.13130696646754,36.170850610354144,36.27357441591512,36.3341002142926,36.040120299426775,36.158466283708115,36.29609602422404,36.07094094254533,36.699193832658956,36.98407546795298,36.34268657024597,36.31565201148765,36.36998359694039,36.321559470512106,36.37169818754064,36.4222992581819,36.56037419925661,36.30540914380784,36.98407546795298,False,False,39.848393356054125,False,False,True
2024-09-28 01:06:00+09:00,36.176383758286406,36.1066237820427,35.79649056008138,36.018363665667145,36.04864818197049,35.9442927930217,36.777255474918356,36.713077760374105,36.08171423870785,36.20213847411111,36.153008536024295,36.13645396608426,36.20382212286588,36.33478785829791,36.386458363010924,36.044655487653145,36.153343190439486,36.26589981423578,36.06888610861699,36.7427761539585,36.95784392532119,36.36063549248376,36.359626004157214,36.36296335310256,36.327545072353296,36.40543741650236,36.49474658635994,36.625493955700904,36.32335513788368,36.29906379362425,36.95784392532119,False,False,40.297100498862754,False,False,True
2024-09-28 01:07:00+09:00,36.04110647889753,35.743842009397056,35.82194072856551,35.85499812795299,35.71856412732657,36.53622513917389,36.57636809459965,35.91377100185183,36.018905088813966,36.022157617887565,35.98133234836839,36.060097632747365,36.10901197526628,36.181011863745596,35.904827236204376,35.83273585928742,35.92751989049971,35.6891054045989,36.25828982509561,36.653523049120835,36.05936115960223,35.97994228322158,36.07548473449993,36.01419413387634,36.09091235381209,36.139267125889354,36.26532651198899,36.080155688554164,35.883091294559186,35.99341937455378,36.653523049120835,False,False,40.7049255283711,False,False,True
2024-09-28 01:08:00+09:00,35.82679079511679,35.923944840108746,35.98356796167023,35.912116105841584,36.65140190469516,36.71427605303795,36.03337057515831,36.09548255674635,36.10629165738095,36.00957966047344,36.09760147850883,36.12566292770502,36.05601482773032,35.934632204605094,35.96941381533645,36.05437774275951,35.96598273970396,36.47350339527084,36.854161707801225,36.31183100431894,36.14757929616881,36.25137764651733,36.12545618764123,36.173627844027266,36.22761654222962,36.151760021739605,36.04568964336344,36.03354951598022,36.11539094054894,36.0430224488673,36.854161707801225,False,False,41.27122557505166,False,False,True
2024-09-28 01:09:00+09:00,35.908849732309626,35.9930101088767,35.880657321432025,36.63014672983123,36.69256510203821,35.973366157397614,36.094933134317586,36.10134529173392,36.04271433151105,36.134541426079515,36.218164369634906,36.12841374759677,36.18502726042506,36.1030739749219,36.065964222121764,35.96636432632837,36.44341127360693,36.83213664158942,36.230920289401084,36.12272750422171,36.249332820998085,36.156195175980685,36.23026941075712,36.35671829209739,36.29519204110692,36.30666439329275,36.282687099098716,36.19256706908087,36.069452976072306,36.34749476438773,36.83213664158942,False,False,41.5974004376912,False,False,True
2024-09-28 01:10:00+09:00,36.11121219347346,36.009518330080056,36.754642357545244,36.799159911964935,36.05457000348494,36.220828424551286,36.235672078810516,36.13735524440643,36.26679832318684,36.30932367366208,36.20054125582292,36.284370851972355,36.29835535110215,36.306398212601955,36.23111780002821,36.70747568682063,37.08300273354752,36.43946858905068,36.34715660273095,36.52483457226164,36.368081579175616,36.481340916324875,36.58919684453521,36.44985133577301,36.49898837108271,36.57001689342493,36.533355236587425,36.45614324456027,36.74510908018814,37.23809023127542,37.23809023127542,False,False,42.93859003408119,False,False,True
