vae_group1_gen_temp_,"3370-01-GEN-AI039",UPPER GUIDE PAD TEMP,"{""SPRT"":{""enable"":false,""m0"":-0.004139249148931287,""s0"":0.07067127804163839,""m"":0.1372033069343455,""s"":0.14134255608327678,""alpha"":0.01,""beta"":0.01},""Threshold"":{""enable"":true,""threshold"":0.380732566669585,""deadband"":0},""Slope"":{""enable"":false,""deadband"":0.0,""normal_slope"":0.0}}"
vae_group1_gen_temp_,"3370-01-GEN-AI040",UPPER GUIDE PAD TEMP,"{""SPRT"":{""enable"":false,""m0"":-0.003768377558388312,""s0"":0.0707144468162286,""m"":0.13766051607406887,""s"":0.1414288936324572,""alpha"":0.01,""beta"":0.01},""Threshold"":{""enable"":true,""threshold"":0.3791495043099853,""deadband"":0},""Slope"":{""enable"":false,""deadband"":0.0,""normal_slope"":0.0}}"
vae_group1_gen_temp_,"3370-01-GEN-AI045",UPPER GUIDE PAD TEMP,"{""SPRT"":{""enable"":false,""m0"":-0.004294279128656614,""s0"":0.0729426914323786,""m"":0.14159110373610057,""s"":0.1458853828647572,""alpha"":0.01,""beta"":0.01},""Threshold"":{""enable"":true,""threshold"":0.38521554621203025,""deadband"":0},""Slope"":{""enable"":false,""deadband"":0.0,""normal_slope"":0.0}}"
vae_group1_gen_temp_,"3370-01-GEN-AI046",UPPER GUIDE PAD TEMP,"{""SPRT"":{""enable"":false,""m0"":-0.006931405824860814,""s0"":0.0764305343675699,""m"":0.14592966291027898,""s"":0.1528610687351398,""alpha"":0.01,""beta"":0.01},""Threshold"":{""enable"":true,""threshold"":0.4035786741209419,""deadband"":0},""Slope"":{""enable"":false,""deadband"":0.0,""normal_slope"":0.0}}"
vae_group2_turbine_flow,"3370-02-EA0244",TBN WTR FLOW IN PUMP,"{""SPRT"":{""enable"":false,""m0"":0.07112386316558686,""s0"":1.0410268936256264,""m"":2.15317765041684,""s"":2.082053787251253,""alpha"":0.01,""beta"":0.01},""Threshold"":{""enable"":true,""threshold"":6.346663841925083,""deadband"":0},""Slope"":{""enable"":false,""deadband"":0.0,""normal_slope"":0.0}}"
vae_group1_govmiv_press23,"3370-01-AI009",GOV OIL/AIR TK OIL PR GRE105MP,"{""Threshold"":{""enable"":true,""threshold"":0.18466717811754507,""deadband"":0.0},""SPRT"":{""enable"":false,""m0"":-0.0003834548491238989,""s0"":0.030791041448626058,""m"":0.061198628048128215,""s"":0.061582082897252116,""alpha"":0.01,""beta"":0.01},""Slope"":{""enable"":false,""normal_slope"":0.0,""deadband"":0.0}}"
vae_group1_govmiv_press23,"3370-01-AI013",MIV OIL/AIR PR TK OIL PRESS 1,"{""Threshold"":{""enable"":true,""threshold"":0.19301911944120162,""deadband"":0.0},""SPRT"":{""enable"":false,""m0"":-0.0004008907340735432,""s0"":0.03210218150958574,""m"":0.06380347228509795,""s"":0.06420436301917148,""alpha"":0.01,""beta"":0.01},""Slope"":{""enable"":false,""normal_slope"":0.0,""deadband"":0.0}}"
vae_group1_govmiv_press2,"3370-01-AI014",MIV O/A PRESS TANK OIL PRESS2,"{""Threshold"":{""enable"":true,""threshold"":0.1929787771840974,""deadband"":0.0},""SPRT"":{""enable"":false,""m0"":-0.00032612776281876736,""s0"":0.03209736215282833,""m"":0.0638685965428379,""s"":0.06419472430565666,""alpha"":0.01,""beta"":0.01},""Slope"":{""enable"":false,""normal_slope"":0.0,""deadband"":0.0}}"
vae_group1_govmiv_press23,"3370-01-AI014",MIV O/A PRESS TANK OIL PRESS2,"{""Threshold"":{""enable"":true,""threshold"":0.1929787771840974,""deadband"":0.0},""SPRT"":{""enable"":false,""m0"":-0.00032612776281876736,""s0"":0.03209736215282833,""m"":0.0638685965428379,""s"":0.06419472430565666,""alpha"":0.01,""beta"":0.01},""Slope"":{""enable"":false,""normal_slope"":0.0,""deadband"":0.0}}"
vae_group1_govmiv_press2,"3370-01-AI015",I/V O/A TK OIL PR 01-GVG505MP,"{""Threshold"":{""enable"":true,""threshold"":0.19298322404496132,""deadband"":0.0},""SPRT"":{""enable"":false,""m0"":-0.00035993961740917623,""s0"":0.03210060001123665,""m"":0.06384126040506412,""s"":0.0642012000224733,""alpha"":0.01,""beta"":0.01},""Slope"":{""enable"":false,""normal_slope"":0.0,""deadband"":0.0}}"
vae_group1_turbine_oil_,"3370-01-AI024",GUIDE BEARING OIL PRESS,"{""SPRT"":{""enable"":false,""m0"":3.185888367918033E-4,""s0"":0.017209132725104104,""m"":0.03473685428700001,""s"":0.03441826545020821,""alpha"":0.01,""beta"":0.01},""Threshold"":{""enable"":true,""threshold"":0.10464103669464463,""deadband"":0},""Slope"":{""enable"":false,""deadband"":0.0,""normal_slope"":0.0}}"
vae_group2_turbine_flow,"3370-02-EA0245",TBN WTR FLOW IN GEN,"{""SPRT"":{""enable"":false,""m0"":-0.03836734071943644,""s0"":1.2034219942057185,""m"":2.3684766476920007,""s"":2.406843988411437,""alpha"":0.01,""beta"":0.01},""Threshold"":{""enable"":true,""threshold"":7.289514730204748,""deadband"":0},""Slope"":{""enable"":false,""deadband"":0.0,""normal_slope"":0.0}}"
vae_group2_gen_rotor,"3370-02-EAB73",POWER FACTOR ACTUAL VALUE,"{""SPRT"":{""enable"":false,""m0"":-4.1705247799917865E-4,""s0"":0.020215420634477243,""m"":0.04001378879095531,""s"":0.040430841268954486,""alpha"":0.01,""beta"":0.01},""Threshold"":{""enable"":true,""threshold"":0.1222247453184667,""deadband"":0},""Slope"":{""enable"":false,""deadband"":0.0,""normal_slope"":0.0}}"
vae_elec_kv2,"3370-02-EXC-MAI008",STATOR U  PHASE  U-V,"{""Threshold"":{""enable"":true,""threshold"":1.0,""deadband"":0.0},""SPRT"":{""enable"":false,""m0"":0.0,""s0"":1.0,""m"":2.0,""s"":3.0,""alpha"":0.01,""beta"":0.01},""Slope"":{""enable"":false,""normal_slope"":1.0,""deadband"":0.0}}"
vae_group2_gen_rotor,"3370-02-GEN-AI050",EXCIT POWER FACTOR,"{""SPRT"":{""enable"":false,""m0"":-3.0981237189098493E-4,""s0"":0.02308416919271653,""m"":0.045858526013542074,""s"":0.04616833838543306,""alpha"":0.01,""beta"":0.01},""Threshold"":{""enable"":true,""threshold"":0.13942962652867022,""deadband"":0},""Slope"":{""enable"":false,""deadband"":0.0,""normal_slope"":0.0}}"
vae_group1_turbine_oil_,"3370-01-AI025",TBN GUIDE BEARING OIL PRESS,"{""SPRT"":{""enable"":false,""m0"":3.0056249123478537E-4,""s0"":0.017216420684602496,""m"":0.03473340386043978,""s"":0.03443284136920499,""alpha"":0.01,""beta"":0.01},""Threshold"":{""enable"":true,""threshold"":0.1046795396055824,""deadband"":0},""Slope"":{""enable"":false,""deadband"":0.0,""normal_slope"":0.0}}"
vae_group1_turbine_govtemp,"3370-01-AI216",GOV COOLER WATER TEMP,"{""Threshold"":{""enable"":true,""threshold"":0.31517674999565193,""deadband"":0.0},""SPRT"":{""enable"":false,""m0"":-0.026667040076335764,""s0"":0.052913775622136276,""m"":0.07916051116793679,""s"":0.10582755124427255,""alpha"":0.01,""beta"":0.01},""Slope"":{""enable"":false,""normal_slope"":0.0,""deadband"":0.0}}"
vae_group1_turbine_govtemp,"3370-01-AI215",GUIDE COOLING WTR TEMP,"{""Threshold"":{""enable"":true,""threshold"":0.39515301908284706,""deadband"":0.0},""SPRT"":{""enable"":false,""m0"":0.02717705873618985,""s0"":0.07107106529736028,""m"":0.1693191893309104,""s"":0.14214213059472056,""alpha"":0.01,""beta"":0.01},""Slope"":{""enable"":false,""normal_slope"":0.0,""deadband"":0.0}}"
vae_group1_turbine_oil_,"3370-01-AI028",GUIDE BEARING OIL PRESS PUMP,"{""SPRT"":{""enable"":false,""m0"":-6.2870941477745265E-6,""s0"":0.008412744189671202,""m"":0.01681920128519463,""s"":0.016825488379342404,""alpha"":0.01,""beta"":0.01},""Threshold"":{""enable"":true,""threshold"":0.05101255846187738,""deadband"":0},""Slope"":{""enable"":false,""deadband"":0.0,""normal_slope"":0.0}}"
vae_group1_turbine_govtemp,"3370-01-AI217",GOV COOLER OUTLET TEMP,"{""Threshold"":{""enable"":true,""threshold"":0.22284010782837588,""deadband"":0.0},""SPRT"":{""enable"":false,""m0"":-0.0038713976113834243,""s0"":0.04097316940103303,""m"":0.07807494119068263,""s"":0.08194633880206606,""alpha"":0.01,""beta"":0.01},""Slope"":{""enable"":false,""normal_slope"":0.0,""deadband"":0.0}}"
vae_group1_turbine_oil_,"3370-01-AI029",GUIDE BEARING OIL PRESS PUMP,"{""SPRT"":{""enable"":false,""m0"":-3.5583987239550864E-4,""s0"":0.008426680436393994,""m"":0.01649752100039248,""s"":0.01685336087278799,""alpha"":0.01,""beta"":0.01},""Threshold"":{""enable"":true,""threshold"":0.051177674686826956,""deadband"":0},""Slope"":{""enable"":false,""deadband"":0.0,""normal_slope"":0.0}}"
vae_group1_ss_press1_,"3370-01-AI035",TURBINE SHAFT SEAL PRESS -1,"{""Threshold"":{""enable"":true,""threshold"":0.11142902121111001,""deadband"":0.0},""SPRT"":{""enable"":false,""m0"":0.0003876171519425267,""s0"":0.021100537357520235,""m"":0.042588691866983,""s"":0.04220107471504047,""alpha"":0.01,""beta"":0.01},""Slope"":{""enable"":false,""normal_slope"":0.0,""deadband"":0.0}}"
vae_group1_ss_press1_,"3370-01-AI036",TURBINE SHAFT SEAL PRESS -2,"{""Threshold"":{""enable"":true,""threshold"":0.12707057869339802,""deadband"":0.0},""SPRT"":{""enable"":false,""m0"":0.0004053222803191183,""s0"":0.024331528489543047,""m"":0.049068379259405215,""s"":0.04866305697908609,""alpha"":0.01,""beta"":0.01},""Slope"":{""enable"":false,""normal_slope"":0.0,""deadband"":0.0}}"
vae_group1_elec_str,"3370-01-STR-PROTECT-AI001","","{""SPRT"":{""enable"":false,""m0"":0.0,""s0"":1.0,""m"":2.0,""s"":3.0,""alpha"":0.01,""beta"":0.01},""Threshold"":{""enable"":true,""threshold"":1.0,""deadband"":0},""Slope"":{""enable"":false,""deadband"":0.0,""normal_slope"":1.0}}"
