Timestamp,3370-01-G-MODE,3370-01-P-MODE
 2024-08-05 00:00:00,0,0
 2024-08-06 03:29:09,1,1
 2024-08-06 05:56:17,0,0
 2024-08-06 08:51:51,1,1
 2024-08-06 16:10:15,0,0
 2024-08-09 12:06:18,1,1
 2024-08-09 15:46:25,0,0
 2024-08-11 07:29:51,1,1
 2024-08-11 13:18:45,0,0
 2024-08-12 09:01:32,1,1
 2024-08-12 12:58:46,0,0
 2024-08-13 12:09:23,1,1
 2024-08-13 16:01:07,0,0
 2024-08-14 10:13:29,1,1
 2024-08-14 16:36:44,0,0
 2024-08-15 09:03:06,1,1
 2024-08-15 16:26:05,0,0
 2024-08-16 08:55:35,1,1
 2024-08-16 14:07:49,0,0
 2024-08-18 07:50:49,1,1
 2024-08-18 11:07:30,0,0
 2024-08-19 08:39:32,1,1
 2024-08-19 14:28:53,0,0
 2024-08-21 09:09:08,1,1
 2024-08-21 16:33:27,0,0
 2024-08-23 07:40:10,1,1
 2024-08-23 13:05:21,0,0
 2024-08-24 09:14:14,1,1
 2024-08-24 15:58:25,0,0
 2024-08-25 08:46:04,1,1
 2024-08-25 16:22:28,0,0
 2024-08-26 08:52:51,1,1
 2024-08-26 16:13:23,0,0
 2024-08-27 08:56:55,1,1
 2024-08-27 16:41:32,0,0
 2024-08-28 11:57:32,1,1
 2024-08-28 16:22:34,0,0
 2024-08-29 08:41:07,1,1
 2024-08-29 13:00:21,0,0
 2024-08-29 14:10:21,1,0
 2024-08-30 00:00:00,0,0
 2024-08-31 00:00:00,1,0
 2024-09-01 00:00:00,0,0
 2024-09-01 04:00:16,1,1
 2024-09-01 05:48:24,0,0
 2024-09-01 08:43:00,1,1
 2024-09-01 16:17:56,0,0
 2024-09-02 00:00:00,0,0
 2024-09-02 03:44:48,1,1
 2024-09-02 04:49:51,1,0
 2024-09-02 09:00:04,0,1
 2024-09-02 16:12:59,0,0
 2024-09-03 00:00:00,1,0
 2024-09-03 08:53:49,0,1
 2024-09-03 16:13:02,0,0
 2024-09-04 00:00:00,1,0
 2024-09-04 10:35:52,0,246
 2024-09-05 00:00:00,1,246
 2024-09-05 14:05:38,1,0
 2024-09-05 14:07:16,0,246
 2024-09-05 14:11:19,1,0
 2024-09-06 00:00:00,0,0
 2024-09-07 00:00:00,0,0
 2024-09-07 08:59:52,1,1
 2024-09-07 13:33:13,0,0
 2024-09-08 00:00:00,0,0
 2024-09-09 00:00:00,246,0
 2024-09-09 05:14:21,246,1
 2024-09-09 06:07:05,0,0
 2024-09-10 00:00:00,246,0
 2024-09-10 02:46:24,0,1
 2024-09-10 06:16:57,1,0
 2024-09-10 12:08:28,0,1
 2024-09-10 16:12:46,0,0
 2024-09-11 00:00:00,1,0
 2024-09-11 08:48:16,0,1
 2024-09-11 16:14:00,0,0
 2024-09-12 00:00:00,1,0
 2024-09-13 00:00:00,0,0
 2024-09-13 07:12:14,0,1
 2024-09-13 16:30:17,1,0
 2024-09-15 08:12:05,0,1
 2024-09-15 15:58:28,0,0
