Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION
 2024-08-06 05:59:47,50.11,61.2,0.04
 2024-08-06 06:00:03,69.03,55.85,0.03
 2024-08-06 06:13:02,58.54,70,0.08
 2024-08-06 06:59:51,61.51,65.68,0.04
 2024-08-06 06:59:59,181.64,64.23,0.05
 2024-08-06 07:00:53,1.11,212.21,0.03
 2024-08-06 07:54:00,1.41,0.99,0.08
 2024-08-06 07:59:55,1.45,1.25,0.03
 2024-08-06 08:00:03,2.12,1.22,0.05
 2024-08-06 08:03:23,0.99,0.91,0.03
 2024-08-06 08:57:24,1.4,1.8,0.96
 2024-08-06 08:59:51,1.87,1.1,0.53
 2024-08-06 08:59:58,2.3,1.23,0.56
 2024-08-06 09:00:06,1.02,1.89,0.5
 2024-08-06 09:01:08,1.4,0.96,0.78
 2024-08-06 09:59:54,1.56,1.26,0.55
 2024-08-06 10:00:02,1.05,1.33,0.61
 2024-08-06 10:12:39,443.54,0.89,0.49
 2024-08-06 10:25:33,77.51,189.11,0.7
 2024-08-06 10:59:52,74.85,80.7,0.55
 2024-08-06 11:00:00,65.21,78.09,0.51
 2024-08-06 11:11:51,91.32,69.28,0.66
 2024-08-06 11:18:02,83.51,97.91,0.46
 2024-08-06 11:59:59,80.41,91.21,0.51
 2024-08-06 12:00:06,65.53,91.22,0.53
 2024-08-06 12:06:09,90.9,71.93,0.62
 2024-08-06 12:17:13,79.4,97.63,0.48
 2024-08-06 12:59:56,77.31,79.05,0.52
 2024-08-06 13:00:03,67.6,80.47,0.56
 2024-08-06 13:06:21,98.81,72.06,0.61
 2024-08-06 13:29:55,73.38,96.74,0.48
 2024-08-06 14:00:00,75.42,78.8,0.5
 2024-08-06 14:00:07,66.16,87.27,0.53
 2024-08-06 14:06:48,94.81,97.31,0.6
 2024-08-06 14:46:09,79.17,75.21,0.47
 2024-08-06 14:59:55,79.51,77.87,0.53
 2024-08-06 15:00:02,68.65,87.66,0.55
