Timestamp,3370-01-AI024,3370-01-AI025,3370-01-AI026,3370-01-AI027,3370-01-AI028,3370-01-AI029,3370-01-AI079,3370-01-AI078-1,3370-01-DTGATE-AI002
 2024-08-05 00:00:00,-0.049,-0.049,-0.051,-0.059,-0.059,-0.062,44.485,59.219,20.2
 2024-08-05 00:05:44,-0.05,-0.05,-0.052,-0.058,-0.059,-0.062,44.358,59.091,19.742
 2024-08-05 00:45:52,-0.062,-0.062,-0.063,-0.059,-0.06,-0.062,35.878,36.384,20.428
 2024-08-05 01:05:56,-0.062,-0.062,-0.064,-0.059,-0.059,-0.062,35.752,36.257,20.352
 2024-08-05 01:36:01,-0.062,-0.062,-0.063,-0.059,-0.06,-0.063,34.488,34.488,19.437
 2024-08-05 01:56:05,-0.062,-0.062,-0.065,-0.059,-0.059,-0.062,34.362,34.362,20.123
 2024-08-05 02:06:07,-0.064,-0.063,-0.065,-0.059,-0.06,-0.063,34.488,34.488,19.742
 2024-08-05 02:16:08,-0.063,-0.063,-0.065,-0.06,-0.061,-0.062,34.109,34.109,19.437
 2024-08-05 02:26:04,-0.064,-0.064,-0.065,-0.059,-0.06,-0.063,34.109,34.109,20.428
 2024-08-05 02:56:09,-0.063,-0.063,-0.065,-0.059,-0.061,-0.064,33.983,33.983,20.123
 2024-08-05 03:06:11,-0.065,-0.065,-0.066,-0.06,-0.06,-0.063,34.109,34.109,20.276
 2024-08-05 03:46:18,-0.064,-0.064,-0.065,-0.059,-0.061,-0.063,33.983,33.856,19.437
 2024-08-05 03:56:20,-0.065,-0.065,-0.066,-0.06,-0.061,-0.064,33.856,33.983,20.123
 2024-08-05 04:06:23,-0.064,-0.064,-0.065,-0.061,-0.06,-0.063,33.983,33.856,19.666
 2024-08-05 04:16:24,-0.065,-0.065,-0.066,-0.06,-0.061,-0.063,33.856,33.983,20.428
 2024-08-05 04:56:33,-0.065,-0.064,-0.067,-0.061,-0.062,-0.064,33.73,33.73,19.589
 2024-08-05 05:06:34,-0.065,-0.065,-0.066,-0.06,-0.061,-0.063,33.856,33.856,19.666
 2024-08-05 05:26:39,-0.065,-0.065,-0.067,-0.061,-0.061,-0.064,33.73,33.73,20.505
 2024-08-05 05:56:44,-0.066,-0.065,-0.066,-0.06,-0.062,-0.065,33.856,33.856,20.428
 2024-08-05 06:26:49,-0.065,-0.065,-0.066,-0.061,-0.061,-0.064,33.604,33.73,20.2
 2024-08-05 06:46:53,-0.066,-0.065,-0.067,-0.06,-0.062,-0.065,33.604,33.604,20.428
 2024-08-05 06:56:56,-0.065,-0.065,-0.066,-0.061,-0.061,-0.065,33.478,33.73,20.047
 2024-08-05 07:07:06,-0.066,-0.066,-0.067,-0.06,-0.062,-0.065,33.604,33.478,20.123
 2024-08-05 07:37:12,-0.066,-0.065,-0.068,-0.061,-0.062,-0.065,33.478,33.604,19.437
 2024-08-05 07:57:15,-0.065,-0.066,-0.067,-0.062,-0.061,-0.065,33.351,33.478,19.666
 2024-08-05 08:07:18,-0.066,-0.065,-0.068,-0.061,-0.062,-0.065,33.478,33.604,19.513
 2024-08-05 08:57:27,-0.067,-0.066,-0.069,-0.062,-0.062,-0.065,33.351,33.478,20.2
 2024-08-05 09:07:29,-0.066,-0.066,-0.068,-0.062,-0.061,-0.065,33.225,33.351,20.352
 2024-08-05 09:17:32,-0.067,-0.065,-0.07,-0.062,-0.062,-0.065,33.351,33.478,19.437
 2024-08-05 09:27:34,-0.066,-0.067,-0.07,-0.062,-0.062,-0.065,32.972,33.351,20.428
 2024-08-05 09:57:40,-0.069,-0.066,-0.069,-0.062,-0.062,-0.064,32.846,33.225,19.818
 2024-08-05 10:07:42,-0.069,-0.069,-0.07,-0.062,-0.062,-0.065,32.972,33.351,20.352
