_time,_value
2024-09-28 02:06:00+09:00,49.09518006816238
2024-09-28 02:07:00+09:00,48.79251478345087
2024-09-28 02:08:00+09:00,48.64754939092988
2024-09-28 02:09:00+09:00,48.87037411057002
2024-09-28 02:10:00+09:00,49.06707341415954
2024-09-28 02:11:00+09:00,49.217726525328054
2024-09-28 02:12:00+09:00,49.54240786499874
2024-09-28 02:13:00+09:00,49.68318744937668
2024-09-28 02:14:00+09:00,49.686131246511906
2024-09-28 02:15:00+09:00,49.76930149658827
2024-09-28 02:16:00+09:00,50.018757000349275
2024-09-28 02:17:00+09:00,50.23855337945119
2024-09-28 02:18:00+09:00,50.37074331201272
2024-09-28 02:19:00+09:00,50.80137674618944
2024-09-28 02:20:00+09:00,51.712501094227996
2024-09-28 02:21:00+09:00,50.896161409137434
2024-09-28 02:22:00+09:00,50.95840054584358
2024-09-28 02:23:00+09:00,51.1052593084605
2024-09-28 02:24:00+09:00,51.338776585113294
2024-09-28 02:25:00+09:00,51.508989471574765
2024-09-28 02:26:00+09:00,51.615933384829674
2024-09-28 02:27:00+09:00,51.873642167551836
2024-09-28 02:28:00+09:00,51.94214818436731
2024-09-28 02:29:00+09:00,52.02948241067929
2024-09-28 02:30:00+09:00,52.20367451474546
2024-09-28 02:31:00+09:00,52.3067529336239
2024-09-28 02:32:00+09:00,52.35674494353818
2024-09-28 02:33:00+09:00,53.005676725154984
2024-09-28 02:34:00+09:00,52.1615734242165
2024-09-28 02:35:00+09:00,52.1704592079256
2024-09-28 02:36:00+09:00,52.36235731744164
2024-09-28 02:37:00+09:00,52.46129011680995
2024-09-28 02:38:00+09:00,52.62327913861675
2024-09-28 02:39:00+09:00,52.78034512663333
2024-09-28 02:40:00+09:00,53.00850807568878
2024-09-28 02:41:00+09:00,53.01778726898819
2024-09-28 02:42:00+09:00,53.308201313073596
2024-09-28 02:43:00+09:00,53.383768170607134
2024-09-28 02:44:00+09:00,53.50450519113991
2024-09-28 02:45:00+09:00,53.52042914001591
2024-09-28 02:46:00+09:00,54.49355622554715
2024-09-28 02:47:00+09:00,54.15390212458495
2024-09-28 02:48:00+09:00,53.79948200660132
2024-09-28 02:49:00+09:00,53.77231055638542
2024-09-28 02:50:00+09:00,53.936401995451035
