"Timestamp","3370-20-COMP-A-LCP-AI001"
" 2024-08-05 00:00:00","78.591"
" 2024-08-05 00:03:47","78.542"
" 2024-08-05 00:56:01","78.372"
" 2024-08-05 01:07:05","78.323"
" 2024-08-05 01:51:50","78.152"
" 2024-08-05 02:01:53","78.115"
" 2024-08-05 02:55:23","77.932"
" 2024-08-05 03:08:07","77.871"
" 2024-08-05 03:50:32","77.737"
" 2024-08-05 04:00:43","77.676"
" 2024-08-05 04:55:54","77.505"
" 2024-08-05 05:05:55","77.468"
" 2024-08-05 05:54:17","77.31"
" 2024-08-05 06:04:20","77.285"
" 2024-08-05 06:59:07","77.078"
" 2024-08-05 07:10:33","77.053"
" 2024-08-05 07:54:18","76.895"
" 2024-08-05 08:04:19","76.858"
" 2024-08-05 08:47:09","55.142"
" 2024-08-05 08:59:30","63.54"
" 2024-08-05 09:01:26","65.151"
" 2024-08-05 09:38:44","83.096"
" 2024-08-05 09:59:05","81.802"
" 2024-08-05 10:09:15","81.265"
" 2024-08-05 10:50:00","80.605"
" 2024-08-05 11:00:26","80.618"
" 2024-08-05 11:52:56","81.094"
" 2024-08-05 12:03:12","81.204"
" 2024-08-05 12:55:56","81.655"
" 2024-08-05 14:33:57","81.619"
" 2024-08-05 15:59:54","81.265"
" 2024-08-05 16:10:04","81.204"
" 2024-08-05 16:54:06","81.045"
" 2024-08-05 17:06:03","80.984"
" 2024-08-05 17:58:04","80.728"
" 2024-08-05 18:08:13","80.667"
" 2024-08-05 18:51:34","80.471"
" 2024-08-05 19:01:35","80.422"
" 2024-08-05 19:54:49","80.203"
" 2024-08-05 20:08:03","80.178"
" 2024-08-05 20:52:32","80.02"
" 2024-08-05 21:05:47","79.971"
" 2024-08-05 21:58:09","79.763"
" 2024-08-05 22:08:13","79.702"
" 2024-08-05 22:50:23","79.507"
" 2024-08-05 23:01:11","79.458"
" 2024-08-05 23:50:41","79.263"
" 2024-08-05 23:55:03","82.546"
" 2024-08-06 00:05:04","82.62"
" 2024-08-06 00:57:54","81.826"
" 2024-08-06 01:08:27","81.838"
" 2024-08-06 01:56:39","81.948"
" 2024-08-06 02:07:50","81.985"
" 2024-08-06 02:43:53","82.07"
" 2024-08-06 02:55:36","82.021"
" 2024-08-06 03:07:02","81.973"
" 2024-08-06 03:19:00","56.045"
" 2024-08-06 03:44:36","83.145"
" 2024-08-06 03:54:46","82.156"
" 2024-08-06 04:04:56","81.448"
" 2024-08-06 04:56:53","80.435"
" 2024-08-06 05:07:03","80.459"
" 2024-08-06 05:37:09","80.642"
" 2024-08-06 05:57:52","80.544"
" 2024-08-06 06:11:22","80.483"
" 2024-08-06 06:21:24","80.447"
" 2024-08-06 06:33:29","83.743"
" 2024-08-06 06:54:12","82.839"
" 2024-08-06 07:04:21","82.754"
" 2024-08-06 07:49:53","82.571"
" 2024-08-06 08:00:34","82.522"
" 2024-08-06 08:41:13","56.13"
" 2024-08-06 08:59:43","67.959"
