Timestamp,3370-02-EBB08,3370-02-AI153,3370-02-AI156,3370-02-AI109,3370-02-AI110
 2024-08-05 00:00:00,9.321,8.284,9.321,53.499,53.56
 2024-08-05 00:00:03,9.316,8.286,9.316,53.667,53.728
 2024-08-05 00:00:11,9.326,8.278,9.326,53.773,53.835
 2024-08-05 00:01:05,9.321,8.284,9.316,52.797,52.866
 2024-08-05 00:59:53,9.316,8.282,9.321,53.209,53.27
 2024-08-05 01:00:01,9.321,8.284,9.316,53.201,53.262
 2024-08-05 01:05:09,9.316,8.282,9.321,53.194,53.255
 2024-08-05 01:09:31,9.321,8.284,9.316,53.354,53.415
 2024-08-05 01:59:57,9.316,8.282,9.321,53.308,53.362
 2024-08-05 02:00:05,9.316,8.28,9.316,53.293,53.354
 2024-08-05 02:04:58,9.321,8.288,9.321,53.232,53.377
 2024-08-05 02:05:53,9.316,8.276,9.316,53.323,53.285
 2024-08-05 02:59:59,9.316,8.28,9.321,53.278,53.331
 2024-08-05 03:00:07,9.321,8.282,9.316,53.285,53.346
 2024-08-05 03:00:22,9.316,8.28,9.321,53.308,53.362
 2024-08-05 03:02:58,9.316,8.286,9.316,53.247,53.3
 2024-08-05 03:59:57,9.321,8.28,9.321,53.27,53.323
 2024-08-05 04:00:04,9.316,8.282,9.316,53.262,53.316
 2024-08-05 04:01:07,9.326,8.28,9.321,53.255,53.354
 2024-08-05 04:59:53,9.316,8.276,9.312,53.293,53.346
 2024-08-05 05:00:24,9.321,8.49,9.316,53.285,53.339
 2024-08-05 05:00:47,9.307,6.93,9.321,53.278,53.323
 2024-08-05 05:01:42,9.316,8.109,9.316,53.262,53.346
 2024-08-05 05:59:49,9.321,8.099,9.316,53.285,53.323
 2024-08-05 06:00:04,9.477,8.171,9.536,53.27,53.331
 2024-08-05 06:08:27,7.76,8.036,7.833,53.278,53.323
 2024-08-05 06:09:13,8.895,8.053,8.886,53.285,53.346
 2024-08-05 06:59:16,8.877,8.057,8.872,53.262,53.339
 2024-08-05 07:00:02,8.95,8.086,8.973,53.278,53.331
 2024-08-05 07:06:27,8.827,7.981,8.827,53.27,53.346
 2024-08-05 07:10:49,8.84,8.011,8.863,53.285,53.323
 2024-08-05 07:59:50,8.845,7.979,8.845,53.278,53.339
 2024-08-05 08:00:37,8.877,8.03,8.872,53.27,53.331
 2024-08-05 08:54:52,8.763,7.924,8.763,53.461,53.506
 2024-08-05 08:58:21,8.799,7.931,8.804,50.6,50.684
 2024-08-05 08:59:53,8.776,7.948,8.776,51.149,51.248
 2024-08-05 09:00:01,8.822,7.962,8.827,51.126,51.195
 2024-08-05 09:00:55,8.712,7.853,8.712,52.438,52.515
 2024-08-05 09:59:59,8.726,7.889,8.726,52.034,52.118
 2024-08-05 10:00:14,8.74,7.786,8.735,52.057,52.103
 2024-08-05 10:04:58,8.767,7.796,8.763,51.988,52.072
 2024-08-05 10:50:16,8.657,7.662,8.648,52.278,52.339
 2024-08-05 10:59:47,8.694,7.676,8.698,52.202,52.301
 2024-08-05 11:00:02,8.589,7.687,8.593,52.24,52.309
 2024-08-05 11:00:10,8.607,7.656,8.607,52.187,52.263
 2024-08-05 11:55:06,8.456,8.906,8.465,52.438,52.522
 2024-08-05 11:59:52,8.479,7.815,8.483,52.423,52.461
 2024-08-05 12:00:00,8.492,7.813,8.497,52.393,52.446
 2024-08-05 12:03:58,8.474,7.605,8.474,52.347,52.415
 2024-08-05 12:51:58,10.58,8.452,10.708,52.599,52.69
 2024-08-05 12:59:56,8.849,8.009,8.849,52.53,52.652
 2024-08-05 14:30:21,8.854,8.03,8.854,52.759,52.888
 2024-08-05 14:31:38,10.365,7.971,10.337,52.736,52.82
 2024-08-05 15:58:29,8.616,8.248,8.607,53.041,53.133
 2024-08-05 16:00:01,8.808,8.229,8.804,53.003,53.094
 2024-08-05 16:00:09,8.84,8.234,8.827,52.995,53.064
 2024-08-05 16:02:52,8.712,8.128,8.717,52.141,52.164
 2024-08-05 16:04:09,9.001,8.404,9.001,55.032,55.093
 2024-08-05 17:00:01,8.969,8.389,8.959,54.285,54.346
 2024-08-05 17:00:09,8.941,8.381,8.969,54.33,54.391
 2024-08-05 17:11:19,8.854,7.883,8.859,54.91,54.948
 2024-08-05 17:44:03,9.165,8.435,9.161,50.478,50.462
 2024-08-05 17:59:52,9.124,8.381,9.12,51.782,51.775
 2024-08-05 18:00:00,9.115,8.421,9.11,51.614,51.607
 2024-08-05 18:05:16,8.795,7.306,8.772,51.836,51.82
 2024-08-05 18:59:40,9.582,8.725,9.577,50.752,50.737
 2024-08-05 18:59:56,9.449,8.381,9.445,50.768,50.752
 2024-08-05 19:00:03,9.532,8.379,9.509,50.821,50.806
 2024-08-05 19:02:29,8.712,8.381,8.547,51.401,51.385
 2024-08-05 19:59:50,10.822,8.372,11.834,50.462,50.447
 2024-08-05 19:59:58,9.417,8.377,9.417,50.5,50.478
 2024-08-05 20:11:47,9.413,8.379,9.413,50.447,50.439
 2024-08-05 20:13:50,9.417,8.374,9.417,53.125,53.156
 2024-08-05 20:59:44,9.408,8.376,9.408,52.042,52.072
 2024-08-05 20:59:52,9.413,8.374,9.413,51.904,51.942
 2024-08-05 21:19:48,9.417,8.376,9.417,51.019,51.042
 2024-08-05 21:45:19,9.408,8.372,9.408,54.453,54.514
 2024-08-05 21:59:57,9.413,8.372,9.413,52.713,52.774
 2024-08-05 22:00:05,9.408,8.37,9.408,52.797,52.858
 2024-08-05 22:00:44,9.413,8.372,9.413,53.293,53.346
 2024-08-05 22:01:40,9.408,8.37,9.408,52.721,52.782
 2024-08-05 22:59:54,9.403,8.368,9.403,53.026,53.087
 2024-08-05 23:00:02,9.408,8.37,9.408,52.995,53.056
 2024-08-05 23:00:25,9.403,8.366,9.403,52.919,52.988
 2024-08-05 23:01:19,9.399,8.366,9.399,53.064,53.125
 2024-08-05 23:59:48,9.403,8.364,9.403,52.995,53.056
 2024-08-05 23:59:56,9.399,6.352,9.399,53.018,53.079
